Infectious agent,Common name,Signs and symptoms,Diagnosis,Treatment,Vaccine(s)
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum infection,"Head and neck infections, pharyngitis, and sinusitis",Culture in human blood agar plates,"erythromycin (proposed as the first-line drug), clindamycin, gentamicin, and cephalosporins",No
Junin virus,Argentine hemorrhagic fever,,,,Yes[4]
Ascaris lumbricoides,Ascariasis,"Migrating larvae, intestinal blockage, and bowel obstruction",Fecal smear,"Albendazole, mebendazole, levamisole and pyrantel pamoate",No
Aspergillus species,Aspergillosis,"Hemoptysis, chest pain","Chest X-ray and CT,  microscopy by silver stains",Voriconazole and liposomal amphotericin B in combination with surgical debridement,No
Astroviridae species,Astrovirus infection,"Diarrhoea, followed by nausea, vomiting, fever, malaise and abdominal pain","Electron microscopy, enzyme-immunoassay (ELISA), immunofluorescence, and polymerase chain reaction",Supportive care,No
Babesia species,Babesiosis,Fever and hemolytic anemia,Giemsa-stained thin-film blood smear,"Atovaquone and azithromycin. In life-threatening cases, exchange transfusion is performed.",No
Bacillus cereus,Bacillus cereus infection,"Nausea, vomiting, and diarrhea",Culture,Vancomycin,No
multiple bacteria,Bacterial meningitis,"neck stiffness, sudden high fever, and altered mental status","Lumbar puncture (contraindicated if there is a mass in the brain or the intracranial pressure is elevated), CT or MRI",Antibiotics,No
multiple bacteria,Bacterial pneumonia,"Fever, rigors, cough, and runny nose, chest pain","Sputum Gram stain and culture, Chest radiography",Antibiotics,No
List of bacterial vaginosis microbiota,Bacterial vaginosis,Increased vaginal discharge that usually smells like fish,Gram stain and whiff test,Metronidazole or clindamycin,No
Bacteroides species,Bacteroides infection,,,,No
Balantidium coli,Balantidiasis,"Intermittent diarrhea, constipation, vomiting, abdominal pain, anorexia, weight loss, headache, colitis, and marked fluid loss","microscopic examination of stools, or colonoscopy or sigmoidoscopy","Tetracycline, metronidazole or iodoquinol",No
Bartonella,Bartonellosis,"Carrión's disease, trench fever, cat-scratch disease, bacillary angiomatosis, peliosis hepatis, chronic bacteremia, endocarditis, chronic lymphadenopathy, and neurological disorders","microscopy, serology, and PCR",Antibiotics,No
Baylisascaris species,Baylisascaris infection,,,,No
BK virus,BK virus infection,,,,No
Piedraia hortae,Black piedra,"formation of nodules on the scalp, moustache and pubic hair",Stain or culture,"Antifungal shampoos such as pyrithione zinc, formaldehyde and salicylic acid",No
Blastocystis species,Blastocystosis,"abdominal pain, itching, usually anal itching, constipation, diarrhea, watery or loose stool",microscopic examination of a chemically preserved stool specimen,Lack of scientific study to support the efficacy of any particular treatment,No
Blastomyces dermatitidis,Blastomycosis,"fever, chills, arthralgia (joint pain), myalgia (muscle pain), headache, and a nonproductive cough","KOH prep, cytology, or histology",Itraconazole or ketoconazole,No
Machupo virus,Bolivian hemorrhagic fever,,,,No
Clostridium botulinum; Note: Botulism is not an infection by Clostridium botulinum but caused by the intake of botulinum toxin.,Botulism (and Infant botulism),"Double vision, drooping of both eyelids, loss of facial expression and swallowing problems","Enzyme-linked immunosorbent assays (ELISAs), electrochemiluminescent (ECL) tests",Botulism antitoxin and supportive care,No
Sabiá virus,Brazilian hemorrhagic fever,,,,No
Brucella species,Brucellosis,"fevers, sweating (often with characteristic foul, moldy smell sometimes likened to wet hay), and migratory arthralgia and myalgia (joint and muscle pain)",Culture,"Tetracyclines, rifampicin, and the aminoglycosides streptomycin and gentamicin",Yes[5]
Yersinia pestis,Bubonic plague,"Chills, malaise, high fever, muscle cramps, seizures",Culture,"Aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin",Under research[6]
usually Burkholderia cepacia and other Burkholderia species,Burkholderia infection,,,,No
Mycobacterium ulcerans,Buruli ulcer,Swollen bump,real-time PCR,The most widely used antibiotic regimen is once daily oral rifampicin plus twice daily oral clarithromycin.,No
Caliciviridae species,Calicivirus infection (Norovirus and Sapovirus),"Vomiting, diarrhea, stomach pain",,,No
Campylobacter species,Campylobacteriosis,"Fever, headache, and myalgia, followed by diarrhea",Stool culture,"Erythromycin can be used in children, and tetracycline in adults.",No
usually Candida albicans and other Candida species,Candidiasis (Moniliasis; Thrush),"Redness, itching, and discomfort","In oral candidiasis, simply inspecting the person's mouth for white patches and irritation may make the diagnosis. Symptoms of vaginal candidiasis are vaginal itching or soreness, pain during sexual intercourse",Antifungal medications,No
"Intestinal disease by Capillaria philippinensis, hepatic disease by Capillaria hepatica and pulmonary disease by Capillaria aerophila",Capillariasis,,,,No
Streptococcus mutans,Dental caries,"Tooth pain, difficulty eating, discoloration, tooth loss",,,Under research[7]
Bartonella bacilliformis,Carrion's disease,"Fever, pale appearance, malaise, painless liver enlargement, jaundice, enlarged lymph nodes, and enlarged spleen","Peripheral blood smear with Giemsa stain, Columbia blood agar cultures, immunoblot, indirect immunofluorescence, and PCR",Fluoroquinolones (such as ciprofloxacin) or chloramphenicol in adults and chloramphenicol plus beta-lactams in children are the antibiotic regimens of choice during the acute phase of Carrion's disease.,No
Bartonella henselae,Cat-scratch disease,"Malaise, decreased appetite, and aches",Polymerase chain reaction,Azithromycin,No
usually Group A Streptococcus and Staphylococcus,Cellulitis,"An area that is red, hot, and painful",By history and physical examination,Penicillinase-resistant semisynthetic penicillin or a first-generation cephalosporin,No
Trypanosoma cruzi,Chagas disease (American trypanosomiasis),"Fever, malaise, headache, and enlargement of the liver, spleen, and lymph nodes","Microscopic examination of fresh anticoagulated blood, or its buffy coat, for motile parasites; or by preparation of thin and thick blood smears stained with Giemsa, for direct visualization of parasites",Benznidazole and nifurtimox (though benznidazole is the only drug available in most of Latin America),Under research[8]
Haemophilus ducreyi,Chancroid,Painful sores on the genitalia,Clinical diagnosis,"The CDC recommendation is either a single oral dose (1 gram) of azithromycin, a single IM dose (250 mg) of ceftriaxone, oral (500 mg) of erythromycin three times a day for seven days, or oral (500 mg) of ciprofloxacin twice a day for three days.",No
Varicella zoster virus (VZV),Chickenpox,"nausea, loss of appetite, aching muscles, and headache, followed by the characteristic rash or oral sores, malaise, and a low-grade fever","The diagnosis of chickenpox is primarily based on the signs and symptoms, with typical early symptoms followed by a characteristic rash. Confirmation of the diagnosis is by examination of the fluid within the vesicles of the rash, or by testing blood for evidence of an acute immunologic response.",Aciclovir,Yes
Alphavirus,Chikungunya,"sudden onset, combining high fever, joint pain, and rash","Laboratory criteria include a decreased lymphocyte count consistent with viremia. However a definitive laboratory diagnosis can be accomplished through viral isolation, RT-PCR, or serological diagnosis.",Supportive care,Under research[9]
Chlamydia trachomatis,Chlamydia,"In women, those who have an asymptomatic infection that is not detected by their doctor, approximately half will develop pelvic inflammatory disease (PID), In men, painful or burning sensation when urinating","Nucleic acid amplification tests (NAAT), such as polymerase chain reaction (PCR), transcription mediated amplification (TMA), and the DNA strand displacement amplification (SDA)","azithromycin, doxycycline, erythromycin, levofloxacin or ofloxacin",No
Chlamydophila pneumoniae,Chlamydophila pneumoniae infection (Taiwan acute respiratory agent or TWAR),,,,No
Vibrio cholerae,Cholera,Profuse diarrhea and vomiting of clear fluid,A rapid dipstick test is available.,oral rehydration therapy (ORT),Yes
usually Fonsecaea pedrosoi,Chromoblastomycosis,"Usually, the infection slowly spreads to the surrounding tissue while still remaining localized to the area around the original wound.",microscopy (KOH scrapings),"Itraconazole, an antifungal azole, is given orally, with or without flucytosine.",No
Batrachochytrium dendrabatidis,Chytridiomycosis,,,,No
Clonorchis sinensis,Clonorchiasis,,,,No
Clostridium difficile,Clostridium difficile colitis,"diarrhea, recent antibiotic exposure, abdominal pain, fever, and a distinctive foul odor","Colonoscopy or sigmoidoscopy, cytotoxicity assay, toxin ELISA",Vancomycin or fidaxomicin by mouth,No
Coccidioides immitis and Coccidioides posadasii,Coccidioidomycosis,,,,No
Colorado tick fever virus (CTFV),Colorado tick fever (CTF),,,,No
usually rhinoviruses and coronaviruses,Common cold (Acute viral rhinopharyngitis; Acute coryza),"Cough, runny nose, sneezing, nasal congestion, and a sore throa",Based on symptoms,Supportive care,No
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Coronavirus disease 2019 (COVID-19),"Fever, cough, loss of taste and smell",,,Yes
Coxsackie B virus,Coxsackie B virus infection,"Fever, headache, sore throat, gastrointestinal distress, extreme fatigue as well as chest and muscle pain",Enterovirus infection is diagnosed mainly via serological tests such as ELISA and from cell culture.,There is no well-accepted treatment for the Coxsackie B group of viruses.,Under research[10]
PRNP,Creutzfeldt–Jakob disease (CJD),"Memory loss, behavioral changes, poor coordination",,,No
Crimean-Congo hemorrhagic fever virus,Crimean-Congo hemorrhagic fever (CCHF),,,,No
Cryptococcus neoformans,Cryptococcosis,"Cough, shortness of breath, chest pain and fever",India ink of the cerebrospinal fluid (CSF),Intravenous Amphotericin B combined with flucytosine by mouth,No
Cryptosporidium species,Cryptosporidiosis,Gastrointestinal and respiratory symptoms,,,No
usually Ancylostoma braziliense; multiple other parasites,Cutaneous larva migrans (CLM),,,,No
Cyclospora cayetanensis,Cyclosporiasis,,,,No
Taenia solium,Cysticercosis,,,,No
Cytomegalovirus,Cytomegalovirus infection,"Fatigue, swollen glands, fever, sore throat, muscle aches","Blood and urine tests, biopsy","Cidofovir, foscarnet, ganciclovir, valganciclovir",Under research[11]
"Dengue viruses (DEN-1, DEN-2, DEN-3 and DEN-4) – Flaviviruses",Dengue fever,"Sudden-onset fever, headache, muscle and joint pains, and a rash",Clinical diagnosis,Treatment depends on the symptoms.,Yes
Green algae Desmodesmus armatus,Desmodesmus infection,,,,No
Dientamoeba fragilis,Dientamoebiasis,,,,No
Corynebacterium diphtheriae,Diphtheria,fever of 38 °C (100.4 °F) or above; chills; fatigue; bluish skin coloration (cyanosis); sore throat; hoarseness; cough; headache; difficulty swallowing; painful swallowing; difficulty breathing; rapid breathing; foul-smelling and bloodstained nasal discharge; and lymphadenopathy,"Laboratory criteria Isolation of C. diphtheriae culture Histopathologic diagnosis Toxin demonstration  In vivo tests (guinea pig inoculation) In vitro test: Elek's gel precipitation test, PCR, ELISA, ICA Clinical criteria  URT illness with sore throat Low-grade fever An adherent, dense, grey pseudomembrane covering the posterior aspect of the pharynx","Metronidazole, Erythromycin, Procaine penicillin G",Yes
Diphyllobothrium,Diphyllobothriasis,,,,No
Dracunculus medinensis,Dracunculiasis,"Burning pain, blister from which worm emerges",,,No
Eastern equine encephalitis virus,Eastern equine encephalitis (EEE),"High fever, muscle pain, altered mental status, headache, meningeal irritation, photophobia, and seizures",Blood tests,"Corticosteroids, anticonvulsants, and supportive measures (treating symptoms)",Under research[12]
Ebolavirus (EBOV),Ebola hemorrhagic fever,"Flu-like symptoms, severe internal and external bleeding",,,Yes
Echinococcus species,Echinococcosis,,,,No
Ehrlichia species,Ehrlichiosis,,,,Under research[13]
Enterobius vermicularis,Enterobiasis (Pinworm infection),"Anal itching that gets worse at night, disturbed sleep",,,No
Enterococcus species,Enterococcus infection,,,,No
Enterovirus species,Enterovirus infection,,,,No
Rickettsia prowazekii,Epidemic typhus,,,,No
Parvovirus B19,Erythema infectiosum (Fifth disease),,,,No
Human herpesvirus 6 (HHV-6) and human herpesvirus 7 (HHV-7),Exanthem subitum (Sixth disease),,,,No
Fasciola hepatica and Fasciola gigantica,Fasciolasis,,,,No
Fasciolopsis buski,Fasciolopsiasis,,,,No
PRNP,Fatal familial insomnia (FFI),"Severe insomnia followed by dementia, hallucinations, and death",,,No
Filarioidea superfamily,Filariasis,,,,No
Clostridium perfringens,Food poisoning by Clostridium perfringens,"Diarrhea, vomiting, and fever",Stool test,Supportive care,No
multiple,Free-living amebic infection,,,,No
Fusobacterium species,Fusobacterium infection,,,,No
usually Clostridium perfringens; other Clostridium species,Gas gangrene (Clostridial myonecrosis),"Discoloration, large black blisters, foul odor, pain and numbness",,,No
Geotrichum candidum,Geotrichosis,,,,No
PRNP,Gerstmann-Sträussler-Scheinker syndrome (GSS),,,,No
Giardia lamblia,Giardiasis,Symptoms vary from none to severe diarrhea with poor absorption of nutrients.,Detection of antigens on the surface of organisms in stool,"Treatment is not always necessary. If medications are needed, a nitroimidazole medication is used such as metronidazole, tinidazole, secnidazole or ornidazole.",No
Burkholderia mallei,Glanders,,,,No
Gnathostoma spinigerum and Gnathostoma hispidum,Gnathostomiasis,,,,No
Neisseria gonorrhoeae,Gonorrhea,"Swelling, itching, pain, and the formation of pus",Gram stain and culture,Ceftriaxone by injection and azithromycin by mouth,Under research[14]
Klebsiella granulomatis,Granuloma inguinale (Donovanosis),,,,No
Streptococcus pyogenes,Group A streptococcal infection,"impetigo, cellulitis, and erysipelas – infections of the skin which can be complicated by necrotizing fasciitis – skin, fascia and muscle strep throat AKA strep pharyngitis – pharynx",Culture,Penicillin,No
Streptococcus agalactiae,Group B streptococcal infection,,,,No
Haemophilus influenzae,Haemophilus influenzae infection,,,,Yes
"Enteroviruses, mainly Coxsackie A virus and enterovirus 71 (EV71)","Hand, foot and mouth disease (HFMD)","Fever, rash, small blisters",,,Under research[15][16]
Sin Nombre virus,Hantavirus Pulmonary Syndrome (HPS),,,,No
Heartland virus,Heartland virus disease,,,,No
Helicobacter pylori,Helicobacter pylori infection,Stomach ulcers,,,No
"Escherichia coli O157:H7, O111 and O104:H4",Hemolytic-uremic syndrome (HUS),,,,No
Bunyaviridae species,Hemorrhagic fever with renal syndrome (HFRS),,,,No
Hendra virus,Hendra virus infection,,,,No
Hepatitis A virus,Hepatitis A,,,,Yes
Hepatitis B virus,Hepatitis B,,,,Yes
Hepatitis C virus,Hepatitis C,,,,Under research[17]
Hepatitis D Virus,Hepatitis D,,,,No
Hepatitis E virus,Hepatitis E,,,,Yes
Herpes simplex virus 1 and 2 (HSV-1 and HSV-2),Herpes simplex,Blisters on genitalia and lips,,,No
Histoplasma capsulatum,Histoplasmosis,,,,No
Ancylostoma duodenale and Necator americanus,Hookworm infection,,,,Under research[18]
Human bocavirus (HBoV),Human bocavirus infection,,,,No
Ehrlichia ewingii,Human ewingii ehrlichiosis,,,,No
Anaplasma phagocytophilum,Human granulocytic anaplasmosis (HGA),,,,No
Human metapneumovirus (hMPV),Human metapneumovirus infection,,,,No
Ehrlichia chaffeensis,Human monocytic ehrlichiosis,,,,No
One of the human papillomaviruses,Human papillomavirus (HPV) infection,Warts,,,Yes
Human parainfluenza viruses (HPIV),Human parainfluenza virus infection,,,,Under research[19][20]
Human T-lymphotropic virus 1 (HTLV-1),Human T-lymphotropic virus 1 infection,,,,Under research[21][22]
Hymenolepis nana and Hymenolepis diminuta,Hymenolepiasis,,,,No
Epstein–Barr virus (EBV),Epstein–Barr virus infectious mononucleosis (Mono),,,,Under research[23]
Orthomyxoviridae species,Influenza (flu),,,,Under research[24]
Orthomyxoviridae species,Influenza (flu),,,,Yes
Isospora belli,Isosporiasis,,,,No
Japanese encephalitis virus,Japanese encephalitis,,,,Yes
unknown; evidence supports that it is infectious,Kawasaki disease,,,,No
multiple,Keratitis,,,,No
Kingella kingae,Kingella kingae infection,,,,No
PRNP,Kuru,"Emotional disturbance, tremors, loss of coordination",,,No
Lassa virus,Lassa fever,,,,No
Legionella pneumophila,Legionellosis (Legionnaires' disease),,,,No
Legionella pneumophila,Pontiac fever,,,,No
Leishmania species,Leishmaniasis,,,,Under research[25]
Mycobacterium leprae and Mycobacterium lepromatosis,Leprosy,"Numbness, small nodules, deformation of extremities",,,Under research[26]
Leptospira species,Leptospirosis,,,,Yes
Listeria monocytogenes,Listeriosis,,,,No
"Borrelia burgdorferi, Borrelia garinii, and Borrelia afzelii",Lyme disease (Lyme borreliosis),,,,Under research[27]
Wuchereria bancrofti and Brugia malayi,Lymphatic filariasis (Elephantiasis),"Severe swelling of extremities, thickened skin",,,No
Lymphocytic choriomeningitis virus (LCMV),Lymphocytic choriomeningitis,,,,No
Plasmodium species,Malaria,"Fever, chills, sweating",,,Yes
Marburg virus,Marburg hemorrhagic fever (MHF),,,,Under research[28]
Measles virus,Measles,"Fever, cough, runny nose, red rash",,,Yes
Middle East respiratory syndrome–related coronavirus,Middle East respiratory syndrome (MERS),,,,Under research[29]
Burkholderia pseudomallei,Melioidosis (Whitmore's disease),,,,No
multiple,Meningitis,,,,No
Neisseria meningitidis,Meningococcal disease,,,,Yes
usually Metagonimus yokagawai,Metagonimiasis,,,,No
Microsporidia phylum,Microsporidiosis,,,,No
Molluscum contagiosum virus (MCV),Molluscum contagiosum (MC),,,,No
Monkeypox virus,Monkeypox,,,,No
Mumps virus,Mumps,Swelling and inflammation of parotid glands,,,Yes
Rickettsia typhi,Murine typhus (Endemic typhus),,,,No
Mycoplasma pneumoniae,Mycoplasma pneumonia,,,,No
Mycoplasma genitalium,Mycoplasma genitalium infection,,,,No
numerous species of bacteria (Actinomycetoma) and fungi (Eumycetoma),Mycetoma,,,,No
parasitic dipterous fly larvae,Myiasis,Boil with larva inside,,,No
most commonly Chlamydia trachomatis and Neisseria gonorrhoeae,Neonatal conjunctivitis (Ophthalmia neonatorum),,,,No
Nipah virus,Nipah virus infection,,,,Under research[30]
Norovirus,Norovirus,,,,Under research[31]
PRNP,"(New) Variant Creutzfeldt–Jakob disease (vCJD, nvCJD)",,,,No
usually Nocardia asteroides and other Nocardia species,Nocardiosis,,,,No
Onchocerca volvulus,Onchocerciasis (River blindness),,,,Under research[32]
Opisthorchis viverrini and Opisthorchis felineus,Opisthorchiasis,,,,No
Paracoccidioides brasiliensis,Paracoccidioidomycosis (South American blastomycosis),,,,No
usually Paragonimus westermani and other Paragonimus species,Paragonimiasis,,,,No
Pasteurella species,Pasteurellosis,,,,No
Pediculus humanus capitis,Pediculosis capitis (Head lice),"Itching, nits attached to hair",,,No
Pediculus humanus corporis,Pediculosis corporis (Body lice),,,,No
Pthirus pubis,"Pediculosis pubis (pubic lice, crab lice)",,,,No
multiple,Pelvic inflammatory disease (PID),,,,No
Bordetella pertussis,Pertussis (whooping cough),Severe coughing fits ending in gasps,,,Yes
Yersinia pestis,Plague,,,,Under research[33]
Streptococcus pneumoniae,Pneumococcal infection,,,,Yes
Pneumocystis jirovecii,Pneumocystis pneumonia (PCP),,,,No
multiple,Pneumonia,,,,No
Poliovirus,Poliomyelitis,,,,Yes
Prevotella species,Prevotella infection,,,,No
usually Naegleria fowleri,Primary amoebic meningoencephalitis (PAM),,,,No
JC virus,Progressive multifocal leukoencephalopathy,,,,No
Chlamydophila psittaci,Psittacosis,,,,No
Coxiella burnetii,Q fever,,,,Yes
Rabies virus,Rabies,,,,Yes
"Borrelia hermsii, Borrelia recurrentis, and other Borrelia species",Relapsing fever,,,,No
Respiratory syncytial virus (RSV),Respiratory syncytial virus infection,,,,Under research[34]
Rhinosporidium seeberi,Rhinosporidiosis,,,,No
Rhinovirus,Rhinovirus infection,,,,No
Rickettsia species,Rickettsial infection,,,,No
Rickettsia akari,Rickettsialpox,,,,No
Rift Valley fever virus,Rift Valley fever (RVF),,,,No
Rickettsia rickettsii,Rocky Mountain spotted fever (RMSF),,,,No
Rotavirus,Rotavirus infection,,,,Yes
Rubella virus,Rubella,,,,Yes
Salmonella species,Salmonellosis,,,,No
SARS coronavirus,Severe acute respiratory syndrome (SARS),,,,Under research[35]
Sarcoptes scabiei,Scabies,,,,No
Group A Streptococcus species,Scarlet fever,,,,No
Schistosoma species,Schistosomiasis,,,,Under research[36]
multiple,Sepsis,,,,No
Shigella species,Shigellosis (bacillary dysentery),,,,No
Varicella zoster virus (VZV),Shingles (Herpes zoster),,,,Yes[37]
Variola major or Variola minor,Smallpox (variola),,,,Yes
Sporothrix schenckii,Sporotrichosis,,,,No
Staphylococcus species,Staphylococcal food poisoning,,,,No
Staphylococcus species,Staphylococcal infection,,,,No
Strongyloides stercoralis,Strongyloidiasis,,,,No
Measles virus,Subacute sclerosing panencephalitis,,,,Yes
Treponema pallidum,"Bejel, Syphilis, and Yaws",,,,Under research[38]
Taenia species,Taeniasis,,,,No
Clostridium tetani,Tetanus (lockjaw),,,,Yes
Tick-borne encephalitis virus (TBEV),Tick-borne encephalitis,,,,Yes
usually Trichophyton species,Tinea barbae (barber's itch),,,,No
usually Trichophyton tonsurans,Tinea capitis (ringworm of the scalp),,,,No
usually Trichophyton species,Tinea corporis (ringworm of the body),,,,No
"usually Epidermophyton floccosum, Trichophyton rubrum, and Trichophyton mentagrophytes",Tinea cruris (Jock itch),,,,No
Trichophyton rubrum,Tinea manum (ringworm of the hand),,,,No
usually Hortaea werneckii,Tinea nigra,,,,No
usually Trichophyton species,Tinea pedis (athlete’s foot),,,,No
usually Trichophyton species,Tinea unguium (onychomycosis),,,,No
Malassezia species,Tinea versicolor (Pityriasis versicolor),,,,No
Staphylococcus aureus or Streptococcus pyogenes,Toxic shock syndrome (TSS),,,,Under research[39][40]
Toxocara canis or Toxocara cati,Toxocariasis (ocular larva migrans (OLM)),,,,No
Toxocara canis or Toxocara cati,Toxocariasis (visceral larva migrans (VLM)),,,,No
Toxoplasma gondii,Toxoplasmosis,,,,No
Chlamydia trachomatis,Trachoma,,,,No
Trichinella spiralis,Trichinosis,,,,No
Trichomonas vaginalis,Trichomoniasis,,,,No
Trichuris trichiura,Trichuriasis (whipworm infection),,,,No
usually Mycobacterium tuberculosis,Tuberculosis,,,,Yes
Francisella tularensis,Tularemia,,,,Under research[41]
"Salmonella enterica subsp. enterica, serovar typhi",Typhoid fever,,,,Yes
Rickettsia,Typhus fever,,,,No
Ureaplasma urealyticum,Ureaplasma urealyticum infection,,,,No
Coccidioides immitis or Coccidioides posadasii.[42],Valley fever,,,,No
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,,,,No
Guanarito virus,Venezuelan hemorrhagic fever,,,,No
Vibrio vulnificus,Vibrio vulnificus infection,,,,No
Vibrio parahaemolyticus,Vibrio parahaemolyticus enteritis,,,,No
multiple viruses,Viral pneumonia,,,,No
West Nile virus,West Nile fever,,,,Under research[43]
Trichosporon beigelii,White piedra (tinea blanca),,,,No
Yersinia pseudotuberculosis,Yersinia pseudotuberculosis infection,,,,No
Yersinia enterocolitica,Yersiniosis,,,,No
Yellow fever virus,Yellow fever,,,,Yes
Zeaspora fungus,Zeaspora,,,,No
Zika virus,Zika fever,,,,Under research[44]
Mucorales order (Mucormycosis) and Entomophthorales order (Entomophthoramycosis),Zygomycosis,,,,No
