Panic disorder with agoraphobia AND moderate panic attacks,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND severe panic attacks,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND panic attacks in partial remission,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND panic attacks in full remission,Panic disorder with agoraphobia
panic disorder with agoraphobia with agoraphobic avoidance and panic attacks,Panic disorder with agoraphobia
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
Acute post-trauma stress state,Posttraumatic stress disorder
Chronic post-traumatic stress disorder,Posttraumatic stress disorder
"Posttraumatic stress disorder, delayed onset",Posttraumatic stress disorder
Complex posttraumatic stress disorder,Posttraumatic stress disorder
post-traumatic stress disorder with dissociative symptoms,Posttraumatic stress disorder
Acute posttraumatic stress disorder following military combat,Acute post-trauma stress state
Chronic post-traumatic stress disorder following military combat,Chronic post-traumatic stress disorder
Delayed posttraumatic stress disorder following military combat,"Posttraumatic stress disorder, delayed onset"
post-traumatic stress disorder with dissociative symptoms with delayed expression,"Posttraumatic stress disorder, delayed onset"
generalized anxiety due to general medical condition,Anxiety disorder due to a general medical condition
panic attacks due to general medical condition,Anxiety disorder due to a general medical condition
anxiety disorder due to general medical condition with obsessive-compulsive disorder symptoms,Anxiety disorder due to a general medical condition
Stress reaction causing mixed disturbance of emotion and conduct,Acute stress disorder
Acute fugue state due to acute stress reaction,Acute stress disorder
Acute stupor state due to acute stress reaction,Acute stress disorder
Acute panic state due to acute stress reaction,Acute stress disorder
Acute situational disturbance,Acute stress disorder
Shell shock,Acute stress disorder
Combat fatigue,Acute stress disorder
acute reaction to stress with disturbance of consciousness,Acute stress disorder
acute reaction to stress with psychomotor disturbance,Acute stress disorder
acute reaction to stress with mixed disorders,Stress reaction causing mixed disturbance of emotion and conduct
Agoraphobia,Phobic disorder
Social phobia,Phobic disorder
Simple phobia,Phobic disorder
Agoraphobia without history of panic disorder,Agoraphobia
Agoraphobia with panic attacks,Agoraphobia
Panic disorder with agoraphobia,Agoraphobia
Agoraphobia without history of panic disorder with limited symptom attacks,Agoraphobia without history of panic disorder
Agoraphobia without history of panic disorder without limited symptom attacks,Agoraphobia without history of panic disorder
Panic disorder with agoraphobia AND mild panic attacks,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND moderate panic attacks,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND severe panic attacks,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND panic attacks in partial remission,Panic disorder with agoraphobia
Panic disorder with agoraphobia AND panic attacks in full remission,Panic disorder with agoraphobia
panic disorder with agoraphobia with agoraphobic avoidance and panic attacks,Panic disorder with agoraphobia
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks",Panic disorder with agoraphobia AND mild panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks",Panic disorder with agoraphobia AND moderate panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",Panic disorder with agoraphobia AND severe panic attacks
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",Panic disorder with agoraphobia AND panic attacks in partial remission
"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",Panic disorder with agoraphobia AND panic attacks in full remission
Generalized social phobia,Social phobia
"Social phobia, fear of public washing",Social phobia
"Social phobia, fear of public speaking",Social phobia
"Social phobia, fear of eating in public",Social phobia
bashful kidney,Social phobia
Venereophobia,Simple phobia
Bromisodrophobia,Simple phobia
Syphilophobia,Venereophobia
Nightmares associated with chronic post-traumatic stress disorder,Dream anxiety disorder
nightmare disorder with associated other sleep disorder,Dream anxiety disorder
nightmare disorder with associated other medical condition,Dream anxiety disorder
nightmare disorder with associated non-sleep disorder,Dream anxiety disorder
Amphetamine-induced anxiety disorder,Anxiety disorder caused by drug
Obsessive compulsive disorder caused by cocaine,Anxiety disorder caused by drug
Obsessive compulsive disorder caused by psychoactive substance,Anxiety disorder caused by drug
Obsessive compulsive disorder caused by synthetic cathinone,Anxiety disorder caused by drug
amphetamine-induced anxiety disorder during intoxication,Amphetamine-induced anxiety disorder
Obsessive compulsive disorder caused by stimulant,Obsessive compulsive disorder caused by psychoactive substance
Erotomania,Delusional disorder
Organic delusional disorder,Delusional disorder
Paraphrenia,Delusional disorder
Shared paranoid disorder,Delusional disorder
Simple paranoid state,Delusional disorder
"Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions",Delusional disorder
Erotomanic delusion disorder,Delusional disorder
Grandiose delusion disorder,Delusional disorder
Persecutory delusion disorder,Delusional disorder
Persistent delusional disorder,Delusional disorder
Morbid jealousy,Delusional disorder
Paranoia querulans,Delusional disorder
Jealous delusion disorder,Delusional disorder
"Delusional disorder, mixed type",Delusional disorder
Delusion of heart disease syndrome,Delusional disorder
Involutional paranoid state,Delusional disorder
Senile dementia with delusion,Delusional disorder
Chronic paranoid psychosis,Delusional disorder
Paranoid disorder,Delusional disorder
Drug-induced delusional disorder,Delusional disorder
Presenile dementia with delusions,Delusional disorder
Delusional disorder in remission,Delusional disorder
Delusional disorder currently symptomatic,Delusional disorder
Olfactory reference disorder,Delusional disorder
delusional disorder of unknown Axis III etiology,Delusional disorder
Obsessional erotomania,Erotomania
Psychoactive substance-induced organic delusional disorder,Organic delusional disorder
Secondary psychotic syndrome with hallucinations and delusions,Organic delusional disorder
psychosis with delusions due to general medical condition,Organic delusional disorder
"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions",Psychoactive substance-induced organic delusional disorder
Phencyclidine psychosis,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by dissociative drug,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by ketamine,Psychoactive substance-induced organic delusional disorder
Psychotic disorder with delusions caused by stimulant,Psychoactive substance-induced organic delusional disorder
Psychotic disorder with delusions caused by synthetic cathinone,Psychoactive substance-induced organic delusional disorder
psychoactive substance use with psychoactive substance-induced psychotic disorder with delusions,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by anxiolytic,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
Psychotic disorder caused by sedative,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
Psychotic disorder caused by hypnotic,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
"specified sedative, hypnotic, or anxiolytic induced delusions","Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
PCP delusional disorder,Phencyclidine psychosis
Psychotic disorder caused by methylenedioxymethamphetamine,Psychotic disorder with delusions caused by stimulant
Involutional paraphrenia,Paraphrenia
Delusional dysmorphophobia,Persistent delusional disorder
Somatic delusion disorder,Persistent delusional disorder
Cutaneous monosymptomatic delusional psychosis,Somatic delusion disorder
Delusions of parasitosis,Cutaneous monosymptomatic delusional psychosis
Delusional hyperhidrosis,Cutaneous monosymptomatic delusional psychosis
Hyperschemazia,Cutaneous monosymptomatic delusional psychosis
Hyposchemazia,Cutaneous monosymptomatic delusional psychosis
Delusion of foul odor,Cutaneous monosymptomatic delusional psychosis
Delusions of infestation,Cutaneous monosymptomatic delusional psychosis
Pinocchio syndrome,Cutaneous monosymptomatic delusional psychosis
"Primary degenerative dementia of the Alzheimer type, senile onset, with delusions",Senile dementia with delusion
late onset Alzheimer's dementia with psychotic condition,"Primary degenerative dementia of the Alzheimer type, senile onset, with delusions"
Alcoholic paranoia,Paranoid disorder
atypical paranoid disorder,Paranoid disorder
Alcoholic paranoia,Drug-induced delusional disorder
Amphetamine delusional disorder,Drug-induced delusional disorder
Cannabis delusional disorder,Drug-induced delusional disorder
Cocaine delusional disorder,Drug-induced delusional disorder
Hallucinogen delusional disorder,Drug-induced delusional disorder
Psychoactive substance-induced organic delusional disorder,Drug-induced delusional disorder
Cannabis abuse with psychotic disorder with delusions,Cannabis delusional disorder
Cannabis dependence with psychotic disorder with delusions,Cannabis delusional disorder
Cocaine abuse with cocaine-induced psychotic disorder with delusions,Cocaine delusional disorder
Cocaine dependence with cocaine-induced psychotic disorder with delusions,Cocaine delusional disorder
Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,Hallucinogen delusional disorder
hallucinogen abuse with hallucinogen-induced pyschotic disorder with delusions,Hallucinogen delusional disorder
"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions",Psychoactive substance-induced organic delusional disorder
Phencyclidine psychosis,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by dissociative drug,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by ketamine,Psychoactive substance-induced organic delusional disorder
Psychotic disorder with delusions caused by stimulant,Psychoactive substance-induced organic delusional disorder
Psychotic disorder with delusions caused by synthetic cathinone,Psychoactive substance-induced organic delusional disorder
psychoactive substance use with psychoactive substance-induced psychotic disorder with delusions,Psychoactive substance-induced organic delusional disorder
Psychotic disorder caused by anxiolytic,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
Psychotic disorder caused by sedative,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
Psychotic disorder caused by hypnotic,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
"specified sedative, hypnotic, or anxiolytic induced delusions","Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions"
PCP delusional disorder,Phencyclidine psychosis
Psychotic disorder caused by methylenedioxymethamphetamine,Psychotic disorder with delusions caused by stimulant
Delusional disorder currently in partial remission,Delusional disorder in remission
Delusional disorder currently in full remission,Delusional disorder in remission
Factitious disorder with predominantly psychological signs and symptoms,Factitious disorder
Munchausen's syndrome,Factitious disorder
Factitious disorder with predominantly physical signs and symptoms,Factitious disorder
Thyrotoxicosis factitia,Factitious disorder
Compensation neurosis,Factitious disorder
Factitious hypoglycemia,Factitious disorder
Factitious purpura,Factitious disorder
Factitious conjunctivitis,Factitious disorder
Factitious asthma,Factitious disorder
Dissociative convulsions,Factitious disorder
Self-induced non-photosensitive epilepsy,Factitious disorder
Factitious cheilitis,Factitious disorder
Factitious disorder with combined physical AND psychological symptoms,Factitious disorder
Dermatitis factitia,Factitious disorder
Factitious blistering,Factitious disorder
Factitious lymphedema,Factitious disorder
Factitious keratitis,Factitious disorder
Iatrogenic thyrotoxicosis factitia,Factitious disorder
factitious disorder by proxy,Factitious disorder
"factitious disorder imposed on self, single episode",Factitious disorder
"factitious disorder imposed on self, recurrent episodes",Factitious disorder
factitious disorder imposed on self,Factitious disorder
"factitious disorder imposed on self, with predominantly psychological signs and symptoms",Factitious disorder with predominantly psychological signs and symptoms
"factitious disorder imposed on self, with predominantly physical signs and symptoms",Factitious disorder with predominantly physical signs and symptoms
Thyrotoxicosis factitia with thyrotoxic crisis,Thyrotoxicosis factitia
Thyrotoxicosis factitia without thyrotoxic crisis,Thyrotoxicosis factitia
iatrogenic hyperthyroidism,Thyrotoxicosis factitia
iatrogenic hyperthyroidism with thyrotoxic crisis or storm,Thyrotoxicosis factitia with thyrotoxic crisis
conversion disorder with seizures,Dissociative convulsions
"factitious disorder imposed on self, with combined psychological and physical signs and symptoms",Factitious disorder with combined physical AND psychological symptoms
iatrogenic thyrotoxicosis factitia with thyrotoxic crisis or storm,Iatrogenic thyrotoxicosis factitia
secondary hypersomnia due to trauma,Hypersomnia disorder related to another mental disorder
Pyromania,Impulse control disorder
Intermittent explosive disorder,Impulse control disorder
Kleptomania,Impulse control disorder
Compulsive gambling,Impulse control disorder
Trichotillomania,Impulse control disorder
Psychogenic polydipsia,Impulse control disorder
Gaming disorder,Impulse control disorder
Impulse control disorder caused by psychoactive substance,Impulse control disorder
Impulse control disorder caused by synthetic cathinone,Impulse control disorder
Sexual pyromania,Pyromania
Gambling disorder predominantly offline,Compulsive gambling
Gambling disorder predominantly online,Compulsive gambling
Gaming disorder predominantly online,Gaming disorder
Gaming disorder predominantly offline,Gaming disorder
Impulse control disorder caused by stimulant,Impulse control disorder caused by psychoactive substance
Impulse control disorder caused by cocaine,Impulse control disorder caused by stimulant
Mild bodily distress disorder,Bodily distress disorder
Moderate bodily distress disorder,Bodily distress disorder
Severe bodily distress disorder,Bodily distress disorder
disorders of bodily distress or bodily experience,Bodily distress disorder
Dissociative disorder,Neurosis
Somatoform disorder,Neurosis
Koro,Neurosis
Occupational neurosis,Neurosis
Latah,Neurosis
Poor insight into neurotic condition,Neurosis
Psychasthenic neurosis,Neurosis
Depersonalization-derealization syndrome,Neurosis
"Neurotic condition, insight present",Neurosis
Postpartum neurosis,Neurosis
Dhat,Neurosis
Jumping disease,Neurosis
unspecified nonpsychotic mental disorder,Neurosis
Psychogenic fugue,Dissociative disorder
Multiple personality disorder,Dissociative disorder
Ganser syndrome,Dissociative disorder
Hysterical blindness,Dissociative disorder
Psychogenic amnesia,Dissociative disorder
"Conversion disorder, single episode",Dissociative disorder
Recurrent conversion disorder,Dissociative disorder
Hysterical deafness,Dissociative disorder
Compensation neurosis,Dissociative disorder
Organic dissociative disorder,Dissociative disorder
Acute hysterical psychosis,Dissociative disorder
Globus abdominalis,Dissociative disorder
Dissociative motor disorder,Dissociative disorder
Dissociative convulsions,Dissociative disorder
Dissociative trance,Dissociative disorder
Dissociative possession disorder,Dissociative disorder
Dissociative stupor,Dissociative disorder
Couvade,Dissociative disorder
Depersonalization disorder,Dissociative disorder
Dissociative confusion,Dissociative disorder
Hysterical cataplexy,Dissociative disorder
Sleep-related dissociative disorder,Dissociative disorder
Dissociative disorder in remission,Dissociative disorder
Secondary dissociative disorder,Dissociative disorder
Hypnogogic exploding head syndrome,Dissociative disorder
Psychogenic fugue co-occurrent and due to stress reaction,Psychogenic fugue
psychophysiological blindness,Hysterical blindness
Localized dissociative amnesia,Psychogenic amnesia
Astasia-abasia,Dissociative motor disorder
Hysterical paralysis,Dissociative motor disorder
Dissociative tremor,Dissociative motor disorder
Dissociative astasia-abasia,Astasia-abasia
Functional monoparesis,Hysterical paralysis
Functional paraparesis,Hysterical paralysis
conversion disorder with seizures,Dissociative convulsions
Possession trance disorder,Dissociative trance
Possession trance disorder,Dissociative possession disorder
Derealization syndrome,Depersonalization disorder
Astasia-abasia,Somatoform disorder
Hypochondriasis,Somatoform disorder
Undifferentiated somatoform disorder,Somatoform disorder
Somatoform pain disorder,Somatoform disorder
Hysterical blindness,Somatoform disorder
Psychogenic syncope,Somatoform disorder
Hysterical paralysis,Somatoform disorder
Psychogenic urticaria,Somatoform disorder
Psychogenic alopecia,Somatoform disorder
"Conversion disorder, single episode",Somatoform disorder
Recurrent conversion disorder,Somatoform disorder
Hysterical deafness,Somatoform disorder
Farrowing hysteria,Somatoform disorder
Psychogenic stupor,Somatoform disorder
Psychogenic symptom of special sense organ,Somatoform disorder
Psychogenic endocrine malfunction,Somatoform disorder
Somatoform autonomic dysfunction,Somatoform disorder
Psychogenic feeding disorder of infancy and childhood,Somatoform disorder
Psychogenic torticollis,Somatoform disorder
