object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
has/Symptoms/Personality_changes,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mood_swings,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Cognitive_impairment,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Vision,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Movement_problems,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Organic mental disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Personality disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Psychosexual disorder,False,False,False,False,False,False,False,
has/Symptoms/False_beliefs,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Seeing_or_hearing_things_that_others_do_not_see_or_hear,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Complications/Self-harm,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Psychotic disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Tic disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Munchausen's by proxy,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Agitation,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Depression,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Paranoia,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Antidepressants,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Anxiolytics,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Stimulants,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
