object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
UI/76129002,,Mental disorder,Ganser syndrome,False,False,False,False,False,False,False,
UI/76399004,,Mental disorder,Mal de ojo,False,False,False,False,False,False,False,
UI/7718000,,Mental disorder,Bilis,False,False,False,False,False,False,False,
UI/79459002,,Mental disorder,Cheshire cat syndrome,False,False,False,False,False,False,False,
UI/81812009,,Mental disorder,Hwa-byung,False,False,False,False,False,False,False,
UI/83233002,,Mental disorder,Ghost sickness,False,False,False,False,False,False,False,
UI/9116003,,Mental disorder,Shin-byung,False,False,False,False,False,False,False,
UI/109897000,,Mental disorder,Indication for modification of patient behavior status,False,False,False,False,False,False,False,
UI/109898005,,Mental disorder,Indication for modification of patient cognitive status,False,False,False,False,False,False,False,
UI/109899002,,Mental disorder,Indication for modification of patient emotional status,False,False,False,False,False,False,False,
UI/109900007,,Mental disorder,Indication for modification of patient physical status,False,False,False,False,False,False,False,
UI/109901006,,Mental disorder,Indication for modification of patient psychological status,False,False,False,False,False,False,False,
UI/191746002,,Mental disorder,Psychasthenic neurosis,False,False,False,False,False,False,False,
UI/231519007,,Mental disorder,Depersonalization-derealization syndrome,False,False,False,False,False,False,False,
UI/267414004,,Mental disorder,Jumping disease,False,False,False,False,False,False,False,
UI/268957000,,Mental disorder,"Neurotic condition, insight present",False,False,False,False,False,False,False,
UI/268958005,,Mental disorder,Poor insight into neurotic condition,False,False,False,False,False,False,False,
UI/280946004,,Mental disorder,Occupational neurosis,False,False,False,False,False,False,False,
UI/31297008,,Mental disorder,Somatoform disorder,False,False,False,False,False,False,False,
UI/44376007,,Mental disorder,Dissociative disorder,False,False,False,False,False,False,False,
UI/73972002,,Mental disorder,Postpartum neurosis,False,False,False,False,False,False,False,
UI/70764005,,Mental disorder,Depersonalization disorder,False,False,False,False,False,False,False,
UI/280945000,,Mental disorder,Derealization syndrome,False,False,False,False,False,False,False,
UI/191744004,,Mental disorder,Writer's cramp neurosis,False,False,False,False,False,False,False,
UI/109956006,,Mental disorder,Psychogenic purpura,False,False,False,False,False,False,False,
UI/111492006,,Mental disorder,"Conversion disorder, single episode",False,False,False,False,False,False,False,
UI/129562004,,Mental disorder,Psychogenic skin disease,False,False,False,False,False,False,False,
UI/18193002,,Mental disorder,Hypochondriasis,False,False,False,False,False,False,False,
UI/18393005,,Mental disorder,Undifferentiated somatoform disorder,False,False,False,False,False,False,False,
UI/191683009,,Mental disorder,Psychogenic stupor,False,False,False,False,False,False,False,
UI/191965003,,Mental disorder,Psychogenic skin symptoms,False,False,False,False,False,False,False,
UI/191980009,,Mental disorder,Psychogenic endocrine malfunction,False,False,False,False,False,False,False,
UI/191981008,,Mental disorder,Psychogenic symptom of special sense organ,False,False,False,False,False,False,False,
UI/192630004,,Mental disorder,Psychogenic feeding disorder of infancy and childhood,False,False,False,False,False,False,False,
UI/231517009,,Mental disorder,Somatoform autonomic dysfunction,False,False,False,False,False,False,False,
UI/30077003,,Mental disorder,Somatoform pain disorder,False,False,False,False,False,False,False,
UI/35827000,,Mental disorder,Recurrent conversion disorder,False,False,False,False,False,False,False,
UI/386572005,,Mental disorder,Psychogenic syncope,False,False,False,False,False,False,False,
UI/397923000,,Mental disorder,Somatization disorder,False,False,False,False,False,False,False,
UI/424271007,,Mental disorder,Hysterical cataplexy,False,False,False,False,False,False,False,
UI/443853005,,Mental disorder,Psychogenic tremor,False,False,False,False,False,False,False,
UI/63990000,,Mental disorder,Psychogenic urticaria,False,False,False,False,False,False,False,
UI/65384007,,Mental disorder,Psychogenic alopecia,False,False,False,False,False,False,False,
UI/65438001,,Mental disorder,Psychogenic torticollis,False,False,False,False,False,False,False,
UI/70967007,,Mental disorder,Hysterical deafness,False,False,False,False,False,False,False,
UI/71802006,,Mental disorder,Astasia-abasia,False,False,False,False,False,False,False,
UI/88902008,,Mental disorder,Hysterical blindness,False,False,False,False,False,False,False,
UI/88984006,,Mental disorder,Hysterical paralysis,False,False,False,False,False,False,False,
UI/129605006,,Mental disorder,Postgastrectomy neurosis,False,False,False,False,False,False,False,
UI/16265701000119107,,Mental disorder,Illness anxiety disorder,False,False,False,False,False,False,False,
UI/231515001,,Mental disorder,Hypochondriacal pain,False,False,False,False,False,False,False,
UI/231516000,,Mental disorder,Cutaneous hypochondriasis,False,False,False,False,False,False,False,
UI/83482000,,Mental disorder,Body dysmorphic disorder,False,False,False,False,False,False,False,
UI/238961003,,Mental disorder,Trichophobia,False,False,False,False,False,False,False,
UI/238965007,,Mental disorder,Venereophobia,False,False,False,False,False,False,False,
UI/238976006,,Mental disorder,Bromisodrophobia,False,False,False,False,False,False,False,
UI/403593004,,Mental disorder,Phobic fear of skin cancer,False,False,False,False,False,False,False,
UI/238966008,,Mental disorder,Syphilophobia,False,False,False,False,False,False,False,
UI/191952007,,Mental disorder,Somatoform autonomic dysfunction - respiratory tract,False,False,False,False,False,False,False,
UI/191962000,,Mental disorder,Neurocirculatory asthenia,False,False,False,False,False,False,False,
UI/268650001,,Mental disorder,Somatoform autonomic dysfunction - gastrointestinal tract,False,False,False,False,False,False,False,
UI/191953002,,Mental disorder,Psychogenic air hunger,False,False,False,False,False,False,False,
UI/191972002,,Mental disorder,Psychogenic dyspepsia,False,False,False,False,False,False,False,
UI/191973007,,Mental disorder,Psychogenic constipation,False,False,False,False,False,False,False,
UI/231518004,,Mental disorder,Globus abdominalis,False,False,False,False,False,False,False,
UI/386537007,,Mental disorder,Psychogenic pylorospasm,False,False,False,False,False,False,False,
UI/192029008,,Mental disorder,Psychogenic backache,False,False,False,False,False,False,False,
UI/441711008,,Mental disorder,Chronic psychogenic pain,False,False,False,False,False,False,False,
UI/762522008,,Mental disorder,Penoscrotodynia,False,False,False,False,False,False,False,
UI/397795007,,Mental disorder,Polysomatizing disorder,False,False,False,False,False,False,False,
UI/397826007,,Mental disorder,Briquet's syndrome,False,False,False,False,False,False,False,
UI/231509001,,Mental disorder,Dissociative astasia-abasia,False,False,False,False,False,False,False,
UI/724818008,,Mental disorder,Functional monoparesis,False,False,False,False,False,False,False,
UI/724819000,,Mental disorder,Functional paraparesis,False,False,False,False,False,False,False,
UI/191677006,,Mental disorder,Acute hysterical psychosis,False,False,False,False,False,False,False,
UI/191714002,,Mental disorder,Dissociative convulsions,False,False,False,False,False,False,False,
UI/231445001,,Mental disorder,Organic dissociative disorder,False,False,False,False,False,False,False,
UI/268715000,,Mental disorder,Dissociative motor disorder,False,False,False,False,False,False,False,
UI/276296007,,Mental disorder,Dissociative trance,False,False,False,False,False,False,False,
UI/276297003,,Mental disorder,Dissociative possession disorder,False,False,False,False,False,False,False,
UI/276300008,,Mental disorder,Dissociative stupor,False,False,False,False,False,False,False,
UI/280901000,,Mental disorder,Couvade,False,False,False,False,False,False,False,
UI/280943007,,Mental disorder,Dissociative confusion,False,False,False,False,False,False,False,
UI/31611000,,Mental disorder,Multiple personality disorder,False,False,False,False,False,False,False,
UI/33693007,,Mental disorder,Compensation neurosis,False,False,False,False,False,False,False,
UI/3586005,,Mental disorder,Psychogenic fugue,False,False,False,False,False,False,False,
UI/429571005,,Mental disorder,Sleep-related dissociative disorder,False,False,False,False,False,False,False,
UI/698952009,,Mental disorder,Dissociative disorder in remission,False,False,False,False,False,False,False,
UI/723915002,,Mental disorder,Secondary dissociative disorder,False,False,False,False,False,False,False,
UI/724752004,,Mental disorder,Hypnogogic exploding head syndrome,False,False,False,False,False,False,False,
UI/735541006,,Mental disorder,Dissociative neurological symptom disorder,False,False,False,False,False,False,False,
UI/735542004,,Mental disorder,Dissociative neurological disorder with symptom of weakness,False,False,False,False,False,False,False,
UI/735543009,,Mental disorder,Dissociative neurological disorder with symptom of alteration of sensation,False,False,False,False,False,False,False,
UI/191713008,,Mental disorder,Dissociative tremor,False,False,False,False,False,False,False,
UI/1142047007,,Mental disorder,Possession trance disorder,False,False,False,False,False,False,False,
UI/7031000119100,,Mental disorder,Psychogenic fugue co-occurrent and due to stress reaction,False,False,False,False,False,False,False,
UI/20734000,,Mental disorder,Psychologic conversion disorder,False,False,False,False,False,False,False,
UI/11387009,,Mental disorder,Psychoactive substance-induced organic mental disorder,False,False,False,False,False,False,False,
UI/17496003,,Mental disorder,Organic anxiety disorder,False,False,False,False,False,False,False,
UI/191447007,,Mental disorder,Organic psychotic condition,False,False,False,False,False,False,False,
UI/192072002,,Mental disorder,Organic memory impairment,False,False,False,False,False,False,False,
UI/231442003,,Mental disorder,Organic catatonic disorder,False,False,False,False,False,False,False,
UI/231449007,,Mental disorder,Epileptic psychosis,False,False,False,False,False,False,False,
UI/23645006,,Mental disorder,Organic mood disorder,False,False,False,False,False,False,False,
UI/286933003,,Mental disorder,Confusional state,False,False,False,False,False,False,False,
UI/3298001,,Mental disorder,Amnestic disorder,False,False,False,False,False,False,False,
UI/36217008,,Mental disorder,Organic personality disorder,False,False,False,False,False,False,False,
UI/40673001,,Mental disorder,Post-encephalitic syndrome,False,False,False,False,False,False,False,
UI/420774007,,Mental disorder,Organic brain syndrome associated with AIDS,False,False,False,False,False,False,False,
UI/425919003,,Mental disorder,Chronic organic mental disorder,False,False,False,False,False,False,False,
UI/428703001,,Mental disorder,Transient organic mental disorder,False,False,False,False,False,False,False,
UI/45912004,,Mental disorder,Organic hallucinosis,False,False,False,False,False,False,False,
UI/52448006,,Mental disorder,Dementia,False,False,False,False,False,False,False,
UI/5510009,,Mental disorder,Organic delusional disorder,False,False,False,False,False,False,False,
UI/703041000,,Mental disorder,Dysexecutive syndrome,False,False,False,False,False,False,False,
UI/713491003,,Mental disorder,Organic brain syndrome co-occurrent with human immunodeficiency virus infection,False,False,False,False,False,False,False,
UI/111480006,,Mental disorder,Psychoactive substance-induced organic dementia,False,False,False,False,False,False,False,
UI/14784000,,Mental disorder,Opioid-induced organic mental disorder,False,False,False,False,False,False,False,
UI/28368009,,Mental disorder,Psychoactive substance-induced organic hallucinosis,False,False,False,False,False,False,False,
UI/29212009,,Mental disorder,Alcohol-induced organic mental disorder,False,False,False,False,False,False,False,
UI/30310000,,Mental disorder,Nicotine-induced organic mental disorder,False,False,False,False,False,False,False,
UI/309279000,,Mental disorder,Caffeine-induced organic mental disorder,False,False,False,False,False,False,False,
UI/312936002,,Mental disorder,Anxiolytic-induced organic mental disorder,False,False,False,False,False,False,False,
UI/32552001,,Mental disorder,Psychoactive substance-induced organic delusional disorder,False,False,False,False,False,False,False,
UI/33871004,,Mental disorder,Phencyclidine-induced psychotic disorder with hallucinations,False,False,False,False,False,False,False,
UI/37331004,,Mental disorder,Psychoactive substance-induced organic mood disorder,False,False,False,False,False,False,False,
UI/39003006,,Mental disorder,Psychoactive substance-induced organic delirium,False,False,False,False,False,False,False,
UI/46721000,,Mental disorder,Psychoactive substance-induced organic personality disorder,False,False,False,False,False,False,False,
UI/46975003,,Mental disorder,Cocaine-induced organic mental disorder,False,False,False,False,False,False,False,
UI/50026000,,Mental disorder,Psychoactive substance-induced organic anxiety disorder,False,False,False,False,False,False,False,
UI/53050002,,Mental disorder,Hallucinogen-induced organic mental disorder,False,False,False,False,False,False,False,
UI/61104008,,Mental disorder,Inhalant-induced organic mental disorder,False,False,False,False,False,False,False,
UI/74934004,,Mental disorder,Psychoactive substance-induced withdrawal syndrome,False,False,False,False,False,False,False,
UI/762324008,,Mental disorder,Delirium caused by stimulant,False,False,False,False,False,False,False,
UI/762325009,,Mental disorder,Psychotic disorder caused by stimulant,False,False,False,False,False,False,False,
UI/762506007,,Mental disorder,Delirium caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/762507003,,Mental disorder,Psychotic disorder caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/762511009,,Mental disorder,Mood disorder caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/762516004,,Mental disorder,Obsessive compulsive disorder caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/77355000,,Mental disorder,Cannabis-induced organic mental disorder,False,False,False,False,False,False,False,
UI/83168008,,Mental disorder,Psychoactive substance-induced organic amnestic disorder,False,False,False,False,False,False,False,
UI/59651006,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia",False,False,False,False,False,False,False,
UI/19445006,,Mental disorder,Opioid-induced psychotic disorder with hallucinations,False,False,False,False,False,False,False,
UI/20385005,,Mental disorder,Opioid-induced psychotic disorder with delusions,False,False,False,False,False,False,False,
UI/29733004,,Mental disorder,Opioid-induced mood disorder,False,False,False,False,False,False,False,
UI/52866005,,Mental disorder,Opioid intoxication delirium,False,False,False,False,False,False,False,
UI/71328000,,Mental disorder,Opioid-induced sexual dysfunction,False,False,False,False,False,False,False,
UI/724655005,,Mental disorder,Psychotic disorder caused by opioid,False,False,False,False,False,False,False,
UI/87132004,,Mental disorder,Opioid withdrawal,False,False,False,False,False,False,False,
UI/288851000119106,,Mental disorder,Opioid-induced mood disorder due to opioid abuse,False,False,False,False,False,False,False,
UI/288861000119108,,Mental disorder,Opioid-induced mood disorder due to opioid dependence,False,False,False,False,False,False,False,
UI/762320004,,Mental disorder,Mood disorder with manic symptoms caused by opioid,False,False,False,False,False,False,False,
UI/762321000,,Mental disorder,Mood disorder with depressive symptoms caused by opioid,False,False,False,False,False,False,False,
UI/762322007,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by opioid,False,False,False,False,False,False,False,
UI/1142050005,,Mental disorder,Uncomplicated opioid withdrawal,False,False,False,False,False,False,False,
UI/230443000,,Mental disorder,Narcotic withdrawal epilepsy,False,False,False,False,False,False,False,
UI/47664006,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations",False,False,False,False,False,False,False,
UI/18653004,,Mental disorder,Alcohol intoxication delirium,False,False,False,False,False,False,False,
UI/191480000,,Mental disorder,Alcohol withdrawal syndrome,False,False,False,False,False,False,False,
UI/281004,,Mental disorder,Dementia associated with alcoholism,False,False,False,False,False,False,False,
UI/34938008,,Mental disorder,Alcohol-induced anxiety disorder,False,False,False,False,False,False,False,
UI/41083005,,Mental disorder,Alcohol-induced sleep disorder,False,False,False,False,False,False,False,
UI/42344001,,Mental disorder,Alcohol-induced psychosis,False,False,False,False,False,False,False,
UI/53936005,,Mental disorder,Alcohol-induced mood disorder,False,False,False,False,False,False,False,
UI/73097000,,Mental disorder,Alcohol amnestic disorder,False,False,False,False,False,False,False,
UI/191476005,,Mental disorder,Alcohol withdrawal hallucinosis,False,False,False,False,False,False,False,
UI/723926008,,Mental disorder,Perceptual disturbances and seizures co-occurrent and due to alcohol withdrawal,False,False,False,False,False,False,False,
UI/85561006,,Mental disorder,Uncomplicated alcohol withdrawal,False,False,False,False,False,False,False,
UI/8635005,,Mental disorder,Alcohol withdrawal delirium,False,False,False,False,False,False,False,
UI/191475009,,Mental disorder,Chronic alcoholic brain syndrome,False,False,False,False,False,False,False,
UI/61144001,,Mental disorder,Alcohol-induced psychotic disorder with delusions,False,False,False,False,False,False,False,
UI/7052005,,Mental disorder,Alcohol hallucinosis,False,False,False,False,False,False,False,
UI/723927004,,Mental disorder,Psychotic disorder caused by alcohol with schizophreniform symptoms,False,False,False,False,False,False,False,
UI/191478006,,Mental disorder,Alcoholic paranoia,False,False,False,False,False,False,False,
UI/723928009,,Mental disorder,Mood disorder with depressive symptoms caused by alcohol,False,False,False,False,False,False,False,
UI/723929001,,Mental disorder,Mood disorder with manic symptoms caused by alcohol,False,False,False,False,False,False,False,
UI/723930006,,Mental disorder,Mood disorder with mixed manic and depressive symptoms caused by alcohol,False,False,False,False,False,False,False,
UI/90755006,,Mental disorder,Nicotine withdrawal,False,False,False,False,False,False,False,
UI/56194001,,Mental disorder,Caffeine-induced sleep disorder,False,False,False,False,False,False,False,
UI/70655008,,Mental disorder,Caffeine-induced anxiety disorder,False,False,False,False,False,False,False,
UI/95635002,,Mental disorder,Caffeine withdrawal,False,False,False,False,False,False,False,
UI/724675001,,Mental disorder,Psychotic disorder caused by anxiolytic,False,False,False,False,False,False,False,
UI/1973000,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions",False,False,False,False,False,False,False,
UI/21831000119109,,Mental disorder,Phencyclidine psychosis,False,False,False,False,False,False,False,
UI/724718002,,Mental disorder,Psychotic disorder caused by dissociative drug,False,False,False,False,False,False,False,
UI/724719005,,Mental disorder,Psychotic disorder caused by ketamine,False,False,False,False,False,False,False,
UI/762327001,,Mental disorder,Psychotic disorder with delusions caused by stimulant,False,False,False,False,False,False,False,
UI/762509000,,Mental disorder,Psychotic disorder with delusions caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/724673008,,Mental disorder,Psychotic disorder caused by sedative,False,False,False,False,False,False,False,
UI/724674002,,Mental disorder,Psychotic disorder caused by hypnotic,False,False,False,False,False,False,False,
UI/50722006,,Mental disorder,PCP delusional disorder,False,False,False,False,False,False,False,
UI/724706006,,Mental disorder,Psychotic disorder caused by methylenedioxymethamphetamine,False,False,False,False,False,False,False,
UI/10327003,,Mental disorder,Cocaine-induced mood disorder,False,False,False,False,False,False,False,
UI/1383008,,Mental disorder,Hallucinogen mood disorder,False,False,False,False,False,False,False,
UI/28864000,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic-induced mood disorder",False,False,False,False,False,False,False,
UI/4863002,,Mental disorder,PCP mood disorder,False,False,False,False,False,False,False,
UI/724721000,,Mental disorder,Mood disorder caused by ketamine,False,False,False,False,False,False,False,
UI/762328006,,Mental disorder,Mood disorder caused by stimulant,False,False,False,False,False,False,False,
UI/762512002,,Mental disorder,Mood disorder with depressive symptoms caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/762513007,,Mental disorder,Mood disorder with manic symptoms caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/762514001,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/788983007,,Mental disorder,Mood disorder caused by cannabis,False,False,False,False,False,False,False,
UI/724690002,,Mental disorder,Mood disorder with depressive symptoms caused by cocaine,False,False,False,False,False,False,False,
UI/724691003,,Mental disorder,Mood disorder with manic symptoms caused by cocaine,False,False,False,False,False,False,False,
UI/724692005,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by cocaine,False,False,False,False,False,False,False,
UI/724720004,,Mental disorder,Mood disorder caused by dissociative drug,False,False,False,False,False,False,False,
UI/762335003,,Mental disorder,Mood disorder with manic symptoms caused by hallucinogen,False,False,False,False,False,False,False,
UI/762336002,,Mental disorder,Mood disorder with depressive symptoms caused by hallucinogen,False,False,False,False,False,False,False,
UI/762344002,,Mental disorder,Mood disorder with manic symptoms caused by dissociative drug,False,False,False,False,False,False,False,
UI/762345001,,Mental disorder,Mood disorder with depressive symptoms caused by dissociative drug,False,False,False,False,False,False,False,
UI/762346000,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by dissociative drug,False,False,False,False,False,False,False,
UI/762337006,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by hallucinogen,False,False,False,False,False,False,False,
UI/724707002,,Mental disorder,Mood disorder caused by methylenedioxymethamphetamine,False,False,False,False,False,False,False,
UI/762329003,,Mental disorder,Mood disorder with depressive symptoms caused by stimulant,False,False,False,False,False,False,False,
UI/762330008,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by stimulant,False,False,False,False,False,False,False,
UI/838528007,,Mental disorder,Mood disorder with manic symptoms caused by amphetamine and amphetamine derivative,False,False,False,False,False,False,False,
UI/838529004,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by amphetamine and amphetamine derivative,False,False,False,False,False,False,False,
UI/838530009,,Mental disorder,Mood disorder with depressive symptoms caused by amphetamine and amphetamine derivative,False,False,False,False,False,False,False,
UI/5444000,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic intoxication delirium",False,False,False,False,False,False,False,
UI/737339005,,Mental disorder,Delirium caused by synthetic cannabinoid,False,False,False,False,False,False,False,
UI/30491001,,Mental disorder,Cocaine delusional disorder,False,False,False,False,False,False,False,
UI/51493001,,Mental disorder,Cocaine-induced anxiety disorder,False,False,False,False,False,False,False,
UI/6348008,,Mental disorder,Cocaine-induced psychotic disorder with hallucinations,False,False,False,False,False,False,False,
UI/70328006,,Mental disorder,Cocaine intoxication delirium,False,False,False,False,False,False,False,
UI/724689006,,Mental disorder,Psychotic disorder caused by cocaine,False,False,False,False,False,False,False,
UI/724693000,,Mental disorder,Obsessive compulsive disorder caused by cocaine,False,False,False,False,False,False,False,
UI/80868005,,Mental disorder,Cocaine withdrawal,False,False,False,False,False,False,False,
UI/735750005,,Mental disorder,Psychotic disorder with schizophreniform symptoms caused by cocaine,False,False,False,False,False,False,False,
UI/1686006,,Mental disorder,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",False,False,False,False,False,False,False,
UI/55967005,,Mental disorder,Phencyclidine-induced anxiety disorder,False,False,False,False,False,False,False,
UI/724722007,,Mental disorder,Anxiety disorder caused by dissociative drug,False,False,False,False,False,False,False,
UI/724723002,,Mental disorder,Anxiety disorder caused by ketamine,False,False,False,False,False,False,False,
UI/737341006,,Mental disorder,Anxiety disorder caused by synthetic cannabinoid,False,False,False,False,False,False,False,
UI/762331007,,Mental disorder,Anxiety disorder caused by stimulant,False,False,False,False,False,False,False,
UI/762515000,,Mental disorder,Anxiety disorder caused by synthetic cathinone,False,False,False,False,False,False,False,
UI/12398201000119102,,Mental disorder,Anxiety disorder caused by methamphetamine,False,False,False,False,False,False,False,
UI/724708007,,Mental disorder,Anxiety disorder caused by methylenedioxymethamphetamine,False,False,False,False,False,False,False,
UI/15277004,,Mental disorder,Hallucinogen-induced anxiety disorder,False,False,False,False,False,False,False,
UI/30871003,,Mental disorder,Flashbacks,False,False,False,False,False,False,False,
UI/32009006,,Mental disorder,Hallucinogen hallucinosis,False,False,False,False,False,False,False,
UI/40571009,,Mental disorder,Hallucinogen intoxication delirium,False,False,False,False,False,False,False,
UI/50933003,,Mental disorder,Hallucinogen delusional disorder,False,False,False,False,False,False,False,
UI/724696008,,Mental disorder,Psychotic disorder caused by hallucinogen,False,False,False,False,False,False,False,
UI/416073003,,Mental disorder,Long duration flashbacks,False,False,False,False,False,False,False,
UI/416714005,,Mental disorder,Episodic flashbacks,False,False,False,False,False,False,False,
UI/417143004,,Mental disorder,Short duration flashbacks,False,False,False,False,False,False,False,
UI/417360004,,Mental disorder,Duplicative flashbacks,False,False,False,False,False,False,False,
UI/18689007,,Mental disorder,Inhalant intoxication delirium,False,False,False,False,False,False,False,
UI/20876004,,Mental disorder,Inhalant-induced anxiety disorder,False,False,False,False,False,False,False,
UI/288461000119105,,Mental disorder,Psychosis caused by inhalant,False,False,False,False,False,False,False,
UI/32875003,,Mental disorder,Inhalant-induced persisting dementia,False,False,False,False,False,False,False,
UI/63983005,,Mental disorder,Inhalant-induced psychotic disorder with hallucinations,False,False,False,False,False,False,False,
UI/724702008,,Mental disorder,Psychotic disorder caused by volatile inhalant,False,False,False,False,False,False,False,
UI/75122001,,Mental disorder,Inhalant-induced psychotic disorder with delusions,False,False,False,False,False,False,False,
UI/89451009,,Mental disorder,Inhalant-induced mood disorder,False,False,False,False,False,False,False,
UI/762338001,,Mental disorder,Mood disorder with manic symptoms caused by volatile inhalant,False,False,False,False,False,False,False,
UI/762339009,,Mental disorder,Mood disorder with depressive symptoms caused by volatile inhalant,False,False,False,False,False,False,False,
UI/762340006,,Mental disorder,Mood disorder with mixed depressive and manic symptoms caused by volatile inhalant,False,False,False,False,False,False,False,
UI/724725009,,Mental disorder,Psychoactive substance withdrawal without complication,False,False,False,False,False,False,False,
UI/724726005,,Mental disorder,Perceptual disturbances co-occurrent and due to psychoactive substance withdrawal,False,False,False,False,False,False,False,
UI/724727001,,Mental disorder,Seizure co-occurrent and due to psychoactive substance withdrawal,False,False,False,False,False,False,False,
UI/737338002,,Mental disorder,Synthetic cannabinoid withdrawal,False,False,False,False,False,False,False,
