object_property (op),super-op,domain,range,functional,inverse functional,transitive,symmetric,asymmetric,reflexive,irreflexive,inverse_prop
has/Symptoms/Psychosis,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Mixed behavior and emotional disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Identity disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis I diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis II diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis III diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis IV diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Axis V diagnosis,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Emotional deprivation syndrome,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Specific nonpsychotic mental disorders following organic brain damage,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Psychosis with origin in childhood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Behavioral and emotional disorder with onset in childhood,False,False,False,False,False,False,False,
has/Complications/Suicide,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with depressed mood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with disturbance of conduct,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with disturbance of conduct,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with disturbance of conduct,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with disturbance of conduct,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with disturbance of conduct,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with mixed emotional features,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with mixed emotional features,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with mixed emotional features,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with mixed emotional features,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with mixed emotional features,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with physical complaints,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with physical complaints,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with physical complaints,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with physical complaints,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with physical complaints,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with withdrawal,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with withdrawal,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with withdrawal,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with withdrawal,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with withdrawal,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with anxious mood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with anxious mood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with anxious mood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with anxious mood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with anxious mood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction with physical symptoms,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction with physical symptoms,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction with physical symptoms,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction with physical symptoms,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction with physical symptoms,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Culture shock,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Culture shock,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Culture shock,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Culture shock,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Culture shock,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction in infancy,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction in infancy,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction in infancy,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction in infancy,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction in infancy,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction of childhood,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction of childhood,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction of childhood,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction of childhood,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction of childhood,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction of adolescence,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction of adolescence,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction of adolescence,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction of adolescence,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction of adolescence,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction of adult life,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction of adult life,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction of adult life,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction of adult life,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction of adult life,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction of late life,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction of late life,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction of late life,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction of late life,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction of late life,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adolescent emancipation disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adolescent emancipation disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adolescent emancipation disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adolescent emancipation disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adolescent emancipation disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Aggressor identification syndrome,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Aggressor identification syndrome,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Aggressor identification syndrome,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Aggressor identification syndrome,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Aggressor identification syndrome,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with work inhibition,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with work inhibition,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with work inhibition,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with work inhibition,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with work inhibition,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder with academic inhibition,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder with academic inhibition,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder with academic inhibition,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder with academic inhibition,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder with academic inhibition,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Stress and adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Stress and adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Stress and adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Stress and adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Stress and adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Concentration camp syndrome,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Concentration camp syndrome,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Concentration camp syndrome,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Concentration camp syndrome,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Concentration camp syndrome,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Elective mutism due to an adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Elective mutism due to an adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Elective mutism due to an adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Elective mutism due to an adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Elective mutism due to an adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Hospitalism,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Hospitalism,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Hospitalism,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Hospitalism,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Hospitalism,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment reaction to medical therapy,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment reaction to medical therapy,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment reaction to medical therapy,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment reaction to medical therapy,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment reaction to medical therapy,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Adjustment disorder in remission,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Adjustment disorder in remission,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Adjustment disorder in remission,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Adjustment disorder in remission,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Adjustment disorder in remission,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Persistent adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Persistent adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Persistent adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Persistent adjustment disorder,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Persistent adjustment disorder,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,emancipation disorder of adolescence and early adult life,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,emancipation disorder of adolescence and early adult life,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,emancipation disorder of adolescence and early adult life,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,emancipation disorder of adolescence and early adult life,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,emancipation disorder of adolescence and early adult life,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Brief depressive adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Brief depressive adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Brief depressive adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Antipsychotics,,Mental disorder,Brief depressive adjustment reaction,False,False,False,False,False,False,False,
has/Medication/Mood_stabilizers,,Mental disorder,Brief depressive adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Anxiety,,Mental disorder,Prolonged depressive adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Mania,,Mental disorder,Prolonged depressive adjustment reaction,False,False,False,False,False,False,False,
has/Symptoms/Psychosis,,Mental disorder,Prolonged depressive adjustment reaction,False,False,False,False,False,False,False,
